plant,time point,cell,label
p3 FM6 flower 1,1,12937,1
p3 FM6 flower 1,1,12948,1
p3 FM6 flower 1,1,12949,1
p3 FM6 flower 1,1,12959,1
p3 FM6 flower 1,2,13862,1
p3 FM6 flower 1,2,13863,0
p3 FM6 flower 1,2,13867,0
p3 FM6 flower 1,2,13868,1
p3 FM6 flower 1,2,13871,0
p3 FM6 flower 1,2,13886,0
p3 FM6 flower 1,2,13942,1
p3 FM6 flower 1,2,13948,0
p3 FM6 flower 1,2,13955,1
p3 FM6 flower 1,2,13959,0
p3 FM6 flower 1,2,13972,1
p3 FM6 flower 1,2,13990,0
p3 FM6 flower 1,2,14053,1
p3 FM6 flower 1,2,14066,0
p3 FM6 flower 1,2,14073,1
p3 FM6 flower 1,2,14076,1
p3 FM6 flower 1,2,14077,1
p3 FM6 flower 1,2,14079,1
p3 FM6 flower 1,2,14086,0
p3 FM6 flower 1,2,14094,1
p3 FM6 flower 1,2,14097,1
p3 FM6 flower 1,2,14098,1
p3 FM6 flower 1,2,14105,0
p3 FM6 flower 1,2,14106,0
p3 FM6 flower 1,2,14107,1
p3 FM6 flower 1,2,14285,0
p3 FM6 flower 1,2,14287,1
p3 FM6 flower 1,2,14289,1
p3 FM6 flower 1,2,14290,1
p3 FM6 flower 1,2,14305,0
p3 FM6 flower 1,2,14316,0
p3 FM6 flower 1,2,14326,1
p3 FM6 flower 1,2,14328,1
p3 FM6 flower 1,2,14335,1
p3 FM6 flower 1,2,14341,0
p3 FM6 flower 1,2,14342,1
p3 FM6 flower 1,2,16086,1
p3 FM6 flower 2,0,43724,1
p3 FM6 flower 2,0,43766,1
p3 FM6 flower 2,0,43768,0
p3 FM6 flower 2,0,43774,1
p3 FM6 flower 2,0,43775,1
p3 FM6 flower 2,0,43780,1
p3 FM6 flower 2,0,43790,0
p3 FM6 flower 2,0,43797,1
p3 FM6 flower 2,0,43845,1
p3 FM6 flower 2,0,43853,1
p3 FM6 flower 2,0,43856,1
p3 FM6 flower 2,0,43860,1
p3 FM6 flower 2,0,43861,1
p3 FM6 flower 2,0,43865,0
p3 FM6 flower 2,0,43881,1
p3 FM6 flower 2,0,43884,1
p3 FM6 flower 2,0,43888,1
p3 FM6 flower 2,0,43909,1
p3 FM6 flower 2,0,43983,1
p3 FM6 flower 2,0,44000,1
p3 FM6 flower 2,0,44006,0
p3 FM6 flower 2,0,44007,0
p3 FM6 flower 2,0,44019,1
p3 FM6 flower 2,0,44025,1
p3 FM6 flower 2,0,44033,1
p3 FM6 flower 2,0,44040,0
p3 FM6 flower 2,0,44042,1
p3 FM6 flower 2,0,44048,1
p3 FM6 flower 2,0,44049,1
p3 FM6 flower 2,0,44051,0
p3 FM6 flower 2,0,44061,1
p3 FM6 flower 2,0,44069,1
p3 FM6 flower 2,0,44079,1
p3 FM6 flower 2,1,43101,0
p3 FM6 flower 2,1,43102,0
p3 FM6 flower 2,1,43125,1
p3 FM6 flower 2,1,43200,1
p3 FM6 flower 2,1,43210,0
p3 FM6 flower 2,1,43218,1
p3 FM6 flower 2,1,43234,1
p3 FM6 flower 2,1,43235,0
p3 FM6 flower 2,1,43236,1
p3 FM6 flower 2,1,43245,0
p3 FM6 flower 2,1,43249,1
p3 FM6 flower 2,1,43255,1
p3 FM6 flower 2,1,43260,0
p3 FM6 flower 2,1,43505,1
p3 FM6 flower 2,1,43506,0
p3 FM6 flower 2,1,43518,1
p3 FM6 flower 2,1,43521,1
p3 FM6 flower 2,1,43522,1
p3 FM6 flower 2,1,43534,1
p3 FM6 flower 2,1,43537,0
p3 FM6 flower 2,1,43581,1
p3 FM6 flower 2,1,43583,1
p3 FM6 flower 2,1,43587,1
p3 FM6 flower 2,1,43596,0
p3 FM6 flower 2,1,43597,1
p3 FM6 flower 2,1,43598,0
p3 FM6 flower 2,1,43599,1
p3 FM6 flower 2,1,43613,0
p3 FM6 flower 2,1,43614,1
p3 FM6 flower 2,1,43615,0
p3 FM6 flower 2,1,43624,1
p3 FM6 flower 2,1,43625,1
p3 FM6 flower 2,1,43633,1
p3 FM6 flower 2,1,43634,0
p3 FM6 flower 2,1,43646,1
p3 FM6 flower 2,1,43647,1
p3 FM6 flower 2,1,43669,0
p3 FM6 flower 2,2,18208,1
p3 FM6 flower 2,2,18222,1
p3 FM6 flower 2,2,18500,0
p3 FM6 flower 2,2,18543,1
p3 FM6 flower 2,2,18950,1
p3 FM6 flower 2,2,19157,1
p3 FM6 flower 2,2,19286,0
p3 FM6 flower 2,2,19346,1
p3 FM6 flower 2,2,19451,0
p3 FM6 flower 2,2,19452,0
p3 FM6 flower 2,2,19625,0
p3 FM6 flower 2,2,19643,1
p3 FM6 flower 2,2,19644,1
p3 FM6 flower 2,2,19672,0
p3 FM6 flower 2,2,19679,1
p3 FM6 flower 2,2,19698,1
p3 FM6 flower 2,2,19699,1
p3 FM6 flower 2,2,19700,1
p3 FM6 flower 2,2,19721,1
p3 FM6 flower 2,2,19917,1
p3 FM6 flower 2,2,19925,1
p3 FM6 flower 2,2,19926,1
p3 FM6 flower 2,2,19936,1
p3 FM6 flower 2,2,19942,1
p3 FM6 flower 2,2,19943,0
p3 FM6 flower 2,2,19958,1
p3 FM6 flower 2,2,19959,0
p3 FM6 flower 2,2,19960,0
p3 FM6 flower 2,2,19966,1
p3 FM6 flower 2,2,19976,0
p3 FM6 flower 3,1,20395,1
p3 FM6 flower 3,1,20396,1
p3 FM6 flower 3,1,20415,1
p3 FM6 flower 3,1,20417,1
p3 FM6 flower 3,1,20418,1
p3 FM6 flower 3,1,20423,1
p3 FM6 flower 3,1,20445,1
p3 FM6 flower 3,1,20446,0
p3 FM6 flower 3,1,20471,1
p3 FM6 flower 3,1,20477,0
p3 FM6 flower 3,1,20542,1
p3 FM6 flower 3,1,20554,1
p3 FM6 flower 3,1,20555,0
p3 FM6 flower 3,1,20556,1
p3 FM6 flower 3,1,20568,0
p3 FM6 flower 3,1,20569,1
p3 FM6 flower 3,1,20571,1
p3 FM6 flower 3,1,20580,1
p3 FM6 flower 3,1,20581,1
p3 FM6 flower 3,1,20585,1
p3 FM6 flower 3,1,20586,1
p3 FM6 flower 3,1,20596,1
p3 FM6 flower 3,1,20599,1
p3 FM6 flower 3,1,20607,1
p3 FM6 flower 3,1,20608,1
p3 FM6 flower 3,1,20610,1
p3 FM6 flower 3,1,20611,1
p3 FM6 flower 3,1,20612,1
p3 FM6 flower 3,1,20620,1
p3 FM6 flower 3,1,20625,1
p3 FM6 flower 3,2,20652,0
p3 FM6 flower 3,2,20654,1
p3 FM6 flower 3,2,20715,1
p3 FM6 flower 3,2,20716,0
p3 FM6 flower 3,2,20717,1
p3 FM6 flower 3,2,20718,0
p3 FM6 flower 3,2,20726,1
p3 FM6 flower 3,2,20730,1
p3 FM6 flower 3,2,20735,1
p3 FM6 flower 3,2,20864,1
p3 FM6 flower 3,2,20865,1
p3 FM6 flower 3,2,20875,1
p3 FM6 flower 3,2,20876,1
p3 FM6 flower 3,2,20877,0
p3 FM6 flower 3,2,20889,1
p3 FM6 flower 3,2,20891,0
p3 FM6 flower 3,2,20903,1
p3 FM6 flower 3,2,20913,1
p3 FM6 flower 3,2,20915,0
p3 FM6 flower 3,2,20916,1
p3 FM6 flower 3,2,20917,1
p3 FM6 flower 3,2,20925,1
p3 FM6 flower 3,2,20943,0
p3 FM6 flower 3,2,20959,1
p3 FM6 flower 3,2,20962,1
p3 FM6 flower 3,2,20964,0
p3 FM6 flower 3,2,20971,1
p3 FM6 flower 3,2,20982,1
p3 FM6 flower 3,2,20983,1
p3 FM6 flower 3,2,20985,1
p3 FM6 flower 3,2,20986,0
p3 FM6 flower 3,2,21006,1
p3 FM6 flower 3,2,21017,1
p3 FM6 flower 3,2,21018,1
p3 FM6 flower 3,3,21901,0
p3 FM6 flower 3,3,21902,0
p3 FM6 flower 3,3,21939,1
p3 FM6 flower 3,3,21940,1
p3 FM6 flower 3,3,21942,0
p3 FM6 flower 3,3,21948,0
p3 FM6 flower 3,3,21949,1
p3 FM6 flower 3,3,22012,1
p3 FM6 flower 3,3,22019,1
p3 FM6 flower 3,3,22041,1
p3 FM6 flower 3,3,22107,0
p3 FM6 flower 3,3,22115,1
p3 FM6 flower 3,3,22121,0
p3 FM6 flower 3,3,22122,0
p3 FM6 flower 3,3,22208,1
p3 FM6 flower 3,3,22213,0
p3 FM6 flower 3,3,22229,0
p3 FM6 flower 3,3,22230,1
p3 FM6 flower 3,3,22235,0
p3 FM6 flower 3,3,22256,0
p3 FM6 flower 3,3,22349,0
p3 FM6 flower 3,3,22365,1
p3 FM6 flower 3,3,22379,1
p3 FM6 flower 3,3,22397,0
p3 FM6 flower 3,3,22399,0
p3 FM6 flower 3,3,22558,0
p3 FM6 flower 3,3,22565,0
p3 FM6 flower 3,3,22567,0
p3 FM6 flower 3,3,22574,0
p3 FM6 flower 3,3,22577,0
p3 FM6 flower 3,3,22580,1
p3 FM6 flower 3,3,22587,1
p3 FM6 flower 3,3,22588,0
